AIM/CGE 2.0,model,scenario,unit,,,,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.1,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,USD2010/TCO2.Capita,,,,0,0,0,376.6748754,362.6078276,5847.265838,12386.7945,9159.707191,8222.453963,9479.429954,15990.02946,19895.90364,20310.86664,23532.89379,28360.06011,27119.58973,26415.90203,25962.31918,25640.4079
AIM/CGE 2.1,AIM/CGE V2.2,ENGAGE-INDCi2030-1400,USD2010/TCO2.Capita,,,,0,0,0,376.6748754,362.6078276,5847.265838,11094.31835,8245.818867,7799.256336,8802.893251,12122.16822,18763.71259,19885.40172,21144.52537,20713.20325,20563.38418,20492.84948,20340.30483,20272.66578
AIM/CGE 2.1,AIM/CGE V2.2,ENGAGE-INDCi2030-1400f,USD2010/TCO2.Capita,,,,0,0,0,376.6748754,362.607832,5847.265769,9011.655729,7195.580933,7054.242299,#DIV/0!,10736.27331,#DIV/0!,18114.49042,#DIV/0!,22380.03274,#DIV/0!,26836.74772,#DIV/0!,24676.8373
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-INDCi2030-1600,USD2010/TCO2.Capita,,,,0,0,0,376.6748754,362.607832,5847.265769,7603.495698,6693.040638,6537.404142,#DIV/0!,9782.974023,#DIV/0!,16798.58549,#DIV/0!,20764.68839,#DIV/0!,20089.82058,#DIV/0!,19378.06743
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-INDCi2030-1600f,USD2010/TCO2.Capita,,,,0,0,0,374.9570299,361.1634317,5827.392947,6641.714665,6154.094959,6151.242754,6925.838654,8766.615478,11893.26977,15193.47099,17484.66512,19610.57213,22015.29598,23159.25226,22715.80868,22547.69566
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-INDCi2030-1800,USD2010/TCO2.Capita,,,,0,0,0,374.9570299,361.1634317,5827.392947,5510.116332,5533.620113,5779.918803,6338.062421,7414.291265,10360.41252,13155.27723,16044.55148,17457.15049,19624.64376,20206.87634,20037.40299,19936.84314
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-INDCi2030-1800f,USD2010/TCO2.Capita,,,,0,0,0,374.9570299,361.1634317,5827.392947,5510.116332,5533.620113,5779.918803,6338.062421,7414.291265,10360.41252,13155.27723,16044.55148,17457.15049,19624.64376,20206.87634,20037.40299,19936.84314
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-INDCi2030-800f,USD2010/TCO2.Capita,,,,0,0,0,374.9570299,361.1634317,5827.392947,17589.98806,21108.20141,19463.61186,18423.47795,20935.93531,25621.62613,27382.71821,26576.5288,26060.94829,25735.167,25538.87816,25407.69848,25305.86029
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-INDCi2030-900f,USD2010/TCO2.Capita,,,,0,0,0,374.9570299,361.1634317,5827.392947,17564.53532,18084.19548,13472.79542,15083.29135,18356.79014,21912.17883,26989.42272,26886.61813,26230.44379,25800.97375,25528.64835,25365.72957,25250.45953
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-INDCi2100,USD2010/TCO2.Capita,,,,0,0,0,374.9570299,361.1634317,349.6435768,340.1257388,332.4447307,326.5343263,322.3164254,319.6177985,318.1808068,317.7974215,318.4213535,320.0242194,322.5293734,325.7901971,329.6850967,334.142076
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-NPi2020-1000,USD2010/TCO2.Capita,,,,0,0,0,8895.768045,13043.26083,9673.507257,8294.306267,8519.760581,10397.17948,15787.81059,19029.71345,20319.71571,20922.48986,20556.25302,20410.50467,20345.72268,20350.74529,20387.02305,20366.87285
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-NPi2020-1000f,USD2010/TCO2.Capita,,,,0,0,0,7469.856454,9379.209661,7312.935267,6929.166264,7220.98767,8323.904201,11224.22902,14693.90624,17943.22327,19382.75075,22571.38256,27007.17457,34088.64552,40980.6602,40195.13006,37533.62249
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-NPi2020-1200,USD2010/TCO2.Capita,,,,0,0,0,7683.107016,9839.343911,7515.926673,7144.069043,7385.204286,8649.219466,11485.45573,15569.41397,18202.42396,19823.70527,21010.05652,20732.98241,20619.74363,20554.38588,20472.04884,20402.44784
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-NPi2020-1200f,USD2010/TCO2.Capita,,,,0,0,0,6519.790332,7329.318255,6245.624939,6214.686799,6663.367042,7282.912769,9353.837543,11773.92065,15232.61976,17253.57159,19731.13838,23059.7825,27031.69208,30313.18146,29359.02931,27798.19262
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-NPi2020-1400,USD2010/TCO2.Capita,,,,0,0,0,6471.620771,7212.638303,6154.123143,6088.999001,6486.295897,7018.539694,8877.743951,11462.32514,13838.58465,16709.71462,18943.51275,21010.44296,20777.97677,20655.10958,20452.15828,20366.2714
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-NPi2020-1400f,USD2010/TCO2.Capita,,,,0,0,0,6026.771757,6622.244448,5711.719131,5927.972139,6272.190409,6685.169916,8155.916316,10780.38861,12637.62181,15818.81191,17663.9896,20606.88176,23583.57381,24936.78557,24348.46476,23842.68555
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-NPi2020-1600,USD2010/TCO2.Capita,,,,0,0,0,5243.299052,5671.373377,5492.259515,5682.163268,5891.208747,6135.841219,6936.969315,8848.320347,11545.2859,13464.91814,15852.78769,18257.54134,20454.11427,20641.24177,20451.58683,20362.37307
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-NPi2020-1600f,USD2010/TCO2.Capita,,,,0,0,0,5243.299052,5671.373377,5492.259515,5682.163268,5891.208747,6135.841219,6936.969315,8848.320347,11545.2859,13464.91814,15852.78769,18257.54134,20454.11427,21122.10811,20961.92838,20880.3267
AIM/CGE V2.2,AIM/CGE V2.2,ENGAGE-NPi2020-1800,USD2010/TCO2.Capita,,,,0,0,0,4601.972556,4981.972588,5247.124406,5448.825673,5627.269794,5797.508119,6362.515494,7678.519217,10186.32509,12196.54623,14651.92523,16391.96019,18172.92849,18466.07092,18255.04884,18135.79507
